   ,word      ,x                    ,y                    ,count,part_of_speech
0  ,leaves    ,0.6717422604560852   ,-32.38258743286133   ,51   ,NNS
1  ,of        ,-2.1214239597320557  ,-5.29146671295166    ,4262 ,IN
2  ,by        ,-7.874737739562988   ,-9.99116039276123    ,483  ,IN
3  ,","       ,-2.0820443630218506  ,-3.961158037185669   ,17931,","
4  ,said      ,-8.563929557800293   ,25.733200073242188   ,21   ,VBD
5  ,my        ,11.349453926086426   ,6.74361515045166     ,1010 ,PRP$
6  ,soul      ,21.03733253479004    ,-4.014629364013672   ,242  ,NN
7  ,such      ,3.15852952003479     ,10.306790351867676   ,60   ,JJ
8  ,for       ,2.6846845149993896   ,6.584011077880859    ,983  ,IN
9  ,body      ,20.746110916137695   ,10.375165939331055   ,121  ,NN
10 ,us        ,-2.6243398189544678  ,14.911892890930176   ,109  ,PRP
11 ,(         ,-0.19036492705345154 ,5.592092514038086    ,466  ,-LRB-
12 ,we        ,-7.623667240142822   ,21.964147567749023   ,334  ,PRP
13 ,are       ,5.734124660491943    ,23.34344482421875    ,612  ,VBP
14 ,one       ,-3.5836217403411865  ,13.45273494720459    ,261  ,CD
15 ,)         ,1.8709155321121216   ,5.603644847869873    ,473  ,-RRB-
16 ,that      ,2.3122003078460693   ,15.261679649353027   ,243  ,DT
17 ,should    ,12.58016586303711    ,22.265146255493164   ,43   ,MD
18 ,i         ,7.692654609680176    ,13.322421073913574   ,2925 ,PRP
19 ,after     ,-5.111850261688232   ,-2.6730411052703857  ,118  ,IN
20 ,or        ,-7.043027400970459   ,-6.182085990905762   ,1003 ,CC
21 ,long      ,-17.824209213256836  ,3.2633838653564453   ,151  ,RB
22 ,hence     ,13.972528457641602   ,2.366783857345581    ,29   ,RB
23 ,in        ,-4.913549900054932   ,-8.310178756713867   ,1835 ,IN
24 ,other     ,3.9480087757110596   ,-6.184851169586182   ,105  ,JJ
25 ,there     ,7.853518962860107    ,-6.622654438018799   ,162  ,RB
26 ,to        ,2.0649936199188232   ,4.257193088531494    ,1280 ,IN
27 ,some      ,-13.296040534973145  ,-12.449915885925293  ,172  ,DT
28 ,the       ,-3.8558948040008545  ,-10.816161155700684  ,10113,DT
29 ,chants    ,13.168460845947266   ,-1.7864607572555542  ,23   ,NNS
