   ,word       ,x                  ,y                  ,count,part_of_speech
0  ,","        ,-8.097749710083008 ,-29.42696189880371 ,3294 ,","
1  ,the        ,0.5682672262191772 ,-54.93000030517578 ,3060 ,DT
2  ,beowulf    ,-25.797060012817383,39.9296989440918   ,235  ,NNP
3  ,.          ,10.090656280517578 ,15.255836486816406 ,1942 ,.
4  ,_          ,-48.9578742980957  ,132.7019805908203  ,75   ,DT
5  ,_          ,-3.408029556274414 ,146.73207092285156 ,178  ,NN
6  ,i          ,40.228843688964844 ,34.09248352050781  ,239  ,PRP
7  ,;          ,-14.116456031799316,-12.292730331420898,498  ,:
8  ,for        ,14.636597633361816 ,31.914878845214844 ,313  ,IN
9  ,a          ,-22.18278694152832 ,20.8796443939209   ,491  ,DT
10 ,very       ,-32.76094055175781 ,60.5262565612793   ,40   ,RB
11 ,of         ,2.6912052631378174 ,-17.530805587768555,1491 ,IN
12 ,-          ,-22.545448303222656,-65.779052734375   ,1577 ,HYPH
13 ,would      ,45.09825897216797  ,124.16972351074219 ,80   ,MD
14 ,to         ,18.195484161376953 ,-21.084474563598633,510  ,IN
15 ,be         ,37.895198822021484 ,59.02819061279297  ,121  ,VB
16 ,and        ,-5.448486328125    ,16.40189552307129  ,788  ,CC
17 ,have       ,112.5263671875     ,150.79307556152344 ,50   ,VBP
18 ,been       ,-65.89957427978516 ,163.7688446044922  ,55   ,VBN
19 ,has        ,92.44810485839844  ,3.4279608726501465 ,72   ,VBZ
20 ,but        ,-55.163204193115234,68.11504364013672  ,112  ,CC
21 ,not        ,-25.558429718017578,-23.786087036132812,172  ,RB
22 ,to         ,-0.6385552287101746,-0.8839687705039978,485  ,TO
23 ,an         ,-42.0893440246582  ,30.07098388671875  ,70   ,DT
24 ,in         ,16.463422775268555 ,-3.222829580307007 ,644  ,IN
25 ,he         ,-33.860931396484375,-43.83946228027344 ,563  ,PRP
26 ,his        ,58.18337631225586  ,20.341432571411133 ,550  ,PRP$
27 ,from       ,8.422012329101562  ,-36.72705078125    ,202  ,IN
28 ,other      ,60.652069091796875 ,46.48664855957031  ,37   ,JJ
29 ,this       ,-21.504653930664062,104.3882827758789  ,123  ,DT
30 ,is         ,66.87128448486328  ,-0.9130126237869263,299  ,VBZ
31 ,by         ,16.25544548034668  ,48.778533935546875 ,183  ,IN
32 ,him        ,-58.9668083190918  ,-34.31656265258789 ,278  ,PRP
33 ,most       ,-145.30050659179688,-61.973323822021484,31   ,RBS
34 ,our        ,71.3568115234375   ,-177.6246337890625 ,38   ,PRP$
35 ,there      ,25.748685836791992 ,-199.43885803222656,32   ,EX
36 ,some       ,25.337324142456055 ,150.65191650390625 ,53   ,DT
37 ,if         ,20.48794174194336  ,75.11936950683594  ,48   ,IN
38 ,they       ,59.32765197753906  ,-97.70997619628906 ,143  ,PRP
39 ,may        ,-142.6541290283203 ,136.4042205810547  ,39   ,MD
40 ,hrothgar   ,-67.9796142578125  ,-54.7581901550293  ,124  ,NNP
41 ,that       ,-100.7138900756836 ,77.81929779052734  ,70   ,WDT
42 ,their      ,84.01654052734375  ,-86.83570861816406 ,87   ,PRP$
43 ,which      ,-42.413089752197266,90.7544937133789   ,57   ,WDT
44 ,see        ,-50.59361267089844 ,10.564173698425293 ,35   ,VB
45 ,as         ,4.349544048309326  ,66.46096801757812  ,233  ,IN
46 ,should     ,-152.482421875     ,93.0082015991211   ,53   ,MD
47 ,given      ,-96.9721908569336  ,194.5697479248047  ,32   ,VBN
48 ,us         ,86.69309997558594  ,-57.90875244140625 ,41   ,PRP
49 ,we         ,122.8078384399414  ,65.98664093017578  ,48   ,PRP
50 ,great      ,-68.31021881103516 ,97.81713104248047  ,46   ,JJ
51 ,it         ,-57.68225860595703 ,45.04526138305664  ,172  ,PRP
52 ,any        ,-79.6498031616211  ,39.51268005371094  ,44   ,DT
53 ,on         ,-39.57592010498047 ,-12.059037208557129,216  ,IN
54 ,that       ,-17.80958366394043 ,3.669356346130371  ,180  ,IN
55 ,who        ,-69.65534210205078 ,19.212100982666016 ,105  ,WP
56 ,or         ,42.791072845458984 ,87.57857513427734  ,42   ,CC
57 ,""""       ,149.5553741455078  ,157.0712432861328  ,56   ,``
58 ,warrior    ,-183.399169921875  ,92.31014251708984  ,30   ,NN
59 ,""""       ,-4.825467586517334 ,121.39774322509766 ,61   ,''
60 ,[          ,22.66401481628418  ,230.92987060546875 ,270  ,-LRB-
61 ,]          ,-17.699783325195312,75.92161560058594  ,370  ,-RRB-
62 ,all        ,24.404647827148438 ,-51.638458251953125,76   ,DT
63 ,that       ,-114.43721008300781,-30.403278350830078,73   ,DT
64 ,translation,44.00259017944336  ,193.7637939453125  ,34   ,NN
65 ,are        ,95.5427474975586   ,86.42019653320312  ,58   ,VBP
66 ,with       ,-40.9378662109375  ,-29.091238021850586,396  ,IN
67 ,was        ,-45.09561538696289 ,-56.319740295410156,344  ,VBD
68 ,(          ,-23.044105529785156,137.30160522460938 ,225  ,-LRB-
69 ,)          ,-33.89250183105469 ,161.37403869628906 ,219  ,-RRB-
70 ,no         ,-92.06433868408203 ,13.83952522277832  ,104  ,DT
71 ,after      ,92.77903747558594  ,190.86741638183594 ,57   ,IN
72 ,'s         ,43.98725128173828  ,4.815767288208008  ,349  ,POS
73 ,           ,59.27083206176758  ,158.6996307373047  ,108  ,_SP
74 ,:          ,-10.608652114868164,52.064598083496094 ,368  ,:
75 ,glory      ,83.459228515625    ,-23.032550811767578,30   ,NN
