   ,word        ,x                    ,y                    ,count,part_of_speech
0  ,(           ,-15.442785263061523  ,6.444408416748047    ,210  ,-LRB-
1  ,by          ,1.6045464277267456   ,-3.430103302001953   ,1161 ,IN
2  ,a           ,5.676931858062744    ,1.0552785396575928   ,4698 ,DT
3  ,to          ,-3.988980531692505   ,-5.51530647277832    ,2329 ,IN
4  ,.           ,0.8401029109954834   ,-3.709151029586792   ,7275 ,.
5  ,)           ,-1.940720796585083   ,4.640873432159424    ,197  ,-RRB-
6  ,the         ,0.789493978023529    ,-5.58905029296875    ,14387,DT
7  ,—           ,3.0683605670928955   ,-0.6446858644485474  ,159  ,.
8  ,in          ,1.8893918991088867   ,-3.850651502609253   ,4073 ,IN
9  ,","         ,1.0169740915298462   ,-2.7238271236419678  ,19101,","
10 ,heart       ,6.711634635925293    ,-12.000911712646484  ,89   ,NN
11 ,body        ,-5.212873935699463   ,-13.91489028930664   ,110  ,NN
12 ,and         ,-0.673248827457428   ,-5.1930999755859375  ,6414 ,CC
13 ,brain       ,6.7373223304748535   ,-11.365302085876465  ,36   ,NN
14 ,;           ,0.6367548704147339   ,-2.2813963890075684  ,4024 ,:
15 ,i           ,-4.940539836883545   ,10.845186233520508   ,2069 ,PRP
16 ,see         ,-28.28383445739746   ,7.524592876434326    ,63   ,VBP
17 ,him         ,-5.141079902648926   ,6.806264400482178    ,1055 ,PRP
18 ,now         ,-3.46671199798584    ,-0.9701706767082214  ,779  ,RB
19 ,he          ,-6.136433124542236   ,6.736941337585449    ,1878 ,PRP
20 ,was         ,-25.930940628051758  ,0.595999002456665    ,1645 ,VBD
21 ,ever        ,7.10834264755249     ,9.886528015136719    ,205  ,RB
22 ,his         ,-8.080355644226074   ,5.624144554138184    ,2521 ,PRP$
23 ,old         ,2.2195043563842773   ,13.27690601348877    ,440  ,JJ
24 ,with        ,-3.4405453205108643  ,-5.809300899505615   ,1721 ,IN
25 ,queer       ,3.5842788219451904   ,21.187278747558594   ,32   ,NN
26 ,all         ,3.259932279586792    ,-5.261167526245117   ,463  ,PDT
27 ,of          ,2.341418743133545    ,-3.9697794914245605  ,6592 ,IN
28 ,known       ,8.93806266784668     ,6.626412391662598    ,72   ,VBN
29 ,world       ,13.036639213562012   ,-11.906364440917969  ,172  ,NN
30 ,to          ,-32.003456115722656  ,6.691195964813232    ,2289 ,TO
31 ,it          ,-3.948117971420288   ,6.71744966506958     ,2486 ,PRP
32 ,somehow     ,3.5789690017700195   ,-8.12967300415039    ,44   ,RB
33 ,“           ,-4.95930290222168    ,21.972524642944336   ,302  ,''
34 ,while       ,-7.494307994842529   ,-3.8179807662963867  ,223  ,IN
35 ,you         ,-4.892993450164795   ,11.39673900604248    ,891  ,PRP
36 ,hand        ,-16.978466033935547  ,12.39527416229248    ,198  ,NN
37 ,others      ,18.19993019104004    ,-2.1785635948181152  ,39   ,NNS
38 ,them        ,11.914833068847656   ,1.758573055267334    ,470  ,PRP
39 ,what        ,7.863028526306152    ,12.684898376464844   ,551  ,WP
40 ,name        ,15.53613567352295    ,0.4668447971343994   ,66   ,NN
41 ,whale       ,13.54826545715332    ,-9.310287475585938   ,110  ,JJ
42 ,-           ,-0.5796335935592651  ,-6.012887477874756   ,2489 ,HYPH
43 ,fish        ,0.3066113293170929   ,0.39523664116859436  ,136  ,NN
44 ,is          ,-26.025117874145508  ,1.5524080991744995   ,1685 ,VBZ
45 ,be          ,-2.058617353439331   ,31.993017196655273   ,1017 ,VB
46 ,called      ,-1.3002948760986328  ,0.03408203274011612  ,70   ,VBN
47 ,our         ,21.25365447998047    ,9.974764823913574    ,207  ,PRP$
48 ,leaving     ,-8.069398880004883   ,-4.534176826477051   ,38   ,VBG
49 ,out         ,-8.569116592407227   ,-10.256357192993164  ,326  ,RP
50 ,through     ,-0.49001002311706543 ,-9.110452651977539   ,215  ,IN
