    ,word          ,x                    ,y                    ,count,part_of_speech
0   ,essays        ,-4.321926593780518   ,-6.802703380584717   ,40   ,NNS
1   ,of            ,-2.325953483581543   ,-12.980915069580078  ,19257,IN
2   ,michel        ,-31.48412322998047   ,-12.638002395629883  ,32   ,NNP
3   ,de            ,37.62180709838867    ,-6.69159460067749    ,333  ,NNP
4   ,montaigne     ,30.051368713378906   ,20.266870498657227   ,143  ,NNP
5   ,by            ,-1.6496647596359253  ,-13.669353485107422  ,3766 ,IN
6   ,charles       ,23.6331787109375     ,12.077508926391602   ,43   ,NNP
7   ,cotton        ,31.213171005249023   ,19.364986419677734   ,36   ,NNP
8   ,.             ,-2.543597936630249   ,-9.35995101928711    ,13077,.
9   ,the           ,-2.9696640968322754  ,-11.247016906738281  ,23719,DT
10  ,life          ,9.579669952392578    ,22.7563533782959     ,724  ,NN
11  ,present       ,-0.2663598656654358  ,-11.061455726623535  ,131  ,JJ
12  ,is            ,-10.102008819580078  ,-32.37655258178711   ,5295 ,VBZ
13  ,to            ,-14.085179328918457  ,-23.70458221435547   ,11219,TO
14  ,a             ,-15.086241722106934  ,-0.8746876120567322  ,9422 ,DT
15  ,in            ,-1.3952559232711792  ,-14.381364822387695  ,9162 ,IN
16  ,our           ,17.798479080200195   ,0.8510338068008423   ,2205 ,PRP$
17  ,--            ,-3.236912488937378   ,-3.540371894836426   ,113  ,:
18  ,this          ,-14.320703506469727  ,-0.4974205791950226  ,2897 ,DT
19  ,great         ,10.343369483947754   ,-7.747659683227539   ,1191 ,JJ
20  ,french        ,0.2135060727596283   ,4.423130035400391    ,48   ,JJ
21  ,be            ,-38.72819137573242   ,-1.6642515659332275  ,3483 ,VB
22  ,as            ,-8.817716598510742   ,-10.039642333984375  ,4027 ,IN
23  ,","           ,-2.560485601425171   ,-2.947512626647949   ,47385,","
24  ,not           ,-20.662918090820312  ,-4.019829750061035   ,5222 ,RB
25  ,only          ,-6.129271507263184   ,-0.924803614616394   ,908  ,RB
26  ,his           ,32.19076156616211    ,11.425397872924805   ,4793 ,PRP$
27  ,birth         ,7.734212398529053    ,24.88408660888672    ,57   ,NN
28  ,but           ,-7.525240421295166   ,-6.331793308258057   ,3266 ,CC
29  ,all           ,26.30826759338379    ,-8.648506164550781   ,1570 ,DT
30  ,and           ,-1.6342716217041016  ,-2.075859308242798   ,20886,CC
