   ,word       ,x                   ,y                   ,count,part_of_speech
0  ,on         ,-3.8086118698120117 ,0.9854902029037476  ,1856 ,IN
1  ,which      ,7.5830278396606445  ,-9.013418197631836  ,514  ,WDT
2  ,a          ,2.115417957305908   ,2.769164562225342   ,6418 ,DT
3  ,mirror     ,15.283308982849121  ,5.906324863433838   ,42   ,NN
4  ,and        ,-0.5106034874916077 ,4.730688571929932   ,7147 ,CC
5  ,lay        ,-1.2516425848007202 ,20.829715728759766  ,39   ,VBD
6  ,.          ,-0.9688757061958313 ,2.52695631980896    ,19833,.
7  ,yellow     ,1.3262336254119873  ,15.53991985321045   ,48   ,JJ
8  ,","        ,-2.566655158996582  ,7.003574371337891   ,16358,","
9  ,was        ,-3.9589107036590576 ,-19.938024520874023 ,2169 ,VBD
10 ,gently     ,2.5493595600128174  ,17.568098068237305  ,38   ,RB
11 ,behind     ,-4.7953338623046875 ,0.7699461579322815  ,96   ,IN
12 ,him        ,6.192902565002441   ,-0.6507343649864197 ,1520 ,PRP
13 ,the        ,-0.20482337474822998,5.449839115142822   ,14855,DT
14 ,morning    ,13.442387580871582  ,7.650923252105713   ,116  ,NN
15 ,air        ,-2.837533473968506  ,5.236306667327881   ,115  ,NN
16 ,he         ,4.828090667724609   ,-1.6653459072113037 ,4264 ,PRP
17 ,held       ,-9.830408096313477  ,13.16555118560791   ,42   ,VBD
18 ,:          ,-3.169609308242798  ,6.549830436706543   ,2566 ,:
19 ,ad         ,3.5216193199157715  ,-0.19382230937480927,34   ,NN
20 ,down       ,-10.125786781311035 ,-2.6229474544525146 ,288  ,RP
21 ,dark       ,-4.612695217132568  ,4.378541946411133   ,102  ,JJ
22 ,called     ,1.3439795970916748  ,-19.126197814941406 ,58   ,VBD
23 ,out        ,-10.289836883544922 ,-2.6075730323791504 ,492  ,RP
24 ,up         ,-9.357781410217285  ,-2.3120169639587402 ,711  ,RP
25 ,!          ,-1.3911088705062866 ,1.0052748918533325  ,1562 ,.
26 ,come       ,-17.775793075561523 ,-10.249411582946777 ,180  ,VB
27 ,you        ,15.14859676361084   ,-3.6866109371185303 ,1975 ,PRP
28 ,came       ,20.531206130981445  ,3.3263490200042725  ,195  ,VBD
29 ,forward    ,-6.622453689575195  ,-3.61030650138855   ,74   ,RB
30 ,round      ,-5.534487247467041  ,-3.6054177284240723 ,40   ,JJ
31 ,about      ,-1.3722174167633057 ,-6.6261820793151855 ,503  ,IN
32 ,land       ,-1.2554124593734741 ,9.325103759765625   ,79   ,NN
33 ,then       ,-3.2008795738220215 ,-2.693004608154297  ,573  ,RB
34 ,sight      ,-5.305904865264893  ,4.034341812133789   ,32   ,NN
35 ,of         ,0.21484437584877014 ,5.955503463745117   ,8103 ,IN
36 ,stephen    ,-16.820926666259766 ,2.229982852935791   ,492  ,NNP
37 ,dedalus    ,-15.554790496826172 ,9.83211898803711    ,169  ,NNP
38 ,towards    ,-3.524578809738159  ,3.2085843086242676  ,120  ,IN
39 ,made       ,-0.21176981925964355,-18.85548210144043  ,123  ,VBD
40 ,in         ,-1.8463705778121948 ,3.220179796218872   ,4730 ,IN
41 ,his        ,3.269131660461426   ,3.0659995079040527  ,3314 ,PRP$
42 ,head       ,4.309634685516357   ,19.127798080444336  ,204  ,NN
43 ,arms       ,5.008100986480713   ,15.57104206085205   ,76   ,NNS
44 ,looked     ,16.931446075439453  ,6.0379557609558105  ,100  ,VBD
45 ,at         ,-3.569439649581909  ,1.7038848400115967  ,1244 ,IN
46 ,face       ,4.350566864013672   ,17.40517807006836   ,231  ,NN
47 ,that       ,4.675991535186768   ,-9.360508918762207  ,540  ,WDT
48 ,its        ,-7.760505199432373  ,19.316484451293945  ,299  ,PRP$
49 ,hair       ,1.2728619575500488  ,16.42393684387207   ,122  ,NN
50 ,like       ,-1.5127962827682495 ,-7.260153293609619  ,592  ,IN
51 ,buck       ,-15.744853973388672 ,1.0408116579055786  ,103  ,NNP
52 ,mulligan   ,-8.653100967407227  ,14.361857414245605  ,159  ,NNP
53 ,an         ,2.3330154418945312  ,3.4245100021362305  ,654  ,DT
54 ,instant    ,12.966111183166504  ,5.074643611907959   ,34   ,NN
55 ,under      ,-5.553555488586426  ,1.6007411479949951  ,216  ,IN
56 ,to         ,-2.237699031829834  ,3.1476197242736816  ,2191 ,IN
57 ,said       ,3.3601012229919434  ,-18.67045783996582  ,1175 ,VBD
58 ,added      ,4.792107105255127   ,-15.683494567871094 ,31   ,VBD
59 ,’s         ,-2.3524680137634277 ,6.197390079498291   ,2509 ,NNP
60 ,this       ,1.4672966003417969  ,-6.390321731567383  ,440  ,DT
61 ,o          ,-3.1266467571258545 ,-9.22874927520752   ,257  ,UH
62 ,is         ,-4.0770344734191895 ,-20.053131103515625 ,1433 ,VBZ
63 ,body       ,0.3770642876625061  ,7.913118839263916   ,73   ,NN
64 ,soul       ,2.337160110473633   ,0.21263334155082703 ,69   ,NN
65 ,blood      ,7.96946907043457    ,-4.263179302215576  ,52   ,NN
66 ,slow       ,6.372142314910889   ,6.059723377227783   ,34   ,JJ
67 ,music      ,9.29466438293457    ,-4.318056106567383  ,74   ,NN
68 ,please     ,6.207522392272949   ,-1.6760753393173218 ,30   ,UH
69 ,your       ,-7.356755256652832  ,22.479507446289062  ,483  ,PRP$
70 ,eyes       ,4.705225944519043   ,17.209121704101562  ,326  ,NNS
71 ,one        ,1.8505297899246216  ,-8.678485870361328  ,612  ,CD
72 ,moment     ,13.97296142578125   ,8.36626148223877    ,89   ,NN
73 ,little     ,-2.4005424976348877 ,-3.659905433654785  ,280  ,JJ
74 ,trouble    ,0.6383599042892456  ,-5.641236782073975  ,32   ,NN
75 ,those      ,10.970681190490723  ,-2.9866719245910645 ,312  ,DT
76 ,white      ,1.774545431137085   ,14.20059585571289   ,153  ,JJ
77 ,silence    ,1.765555739402771   ,10.190457344055176  ,33   ,NN
78 ,all        ,1.9474302530288696  ,-4.141030311584473  ,804  ,DT
79 ,gave       ,0.0622204951941967  ,-19.26777458190918  ,122  ,VBD
80 ,long       ,13.179424285888672  ,-16.800395965576172 ,101  ,RB
81 ,attention  ,5.378213882446289   ,8.971284866333008   ,30   ,NN
82 ,even       ,4.165763854980469   ,-4.103414058685303  ,124  ,RB
83 ,teeth      ,3.389605760574341   ,13.914591789245605  ,46   ,NNS
84 ,here       ,-1.1175607442855835 ,-4.159665107727051  ,287  ,RB
85 ,there      ,-2.4374279975891113 ,-4.657488822937012  ,438  ,RB
86 ,with       ,-2.2462124824523926 ,2.3217642307281494  ,2511 ,IN
87 ,points     ,9.222878456115723   ,17.812908172607422  ,36   ,NNS
88 ,two        ,9.14633560180664    ,10.63449478149414   ,384  ,CD
89 ,strong     ,1.1669259071350098  ,9.196104049682617   ,32   ,JJ
90 ,through    ,-4.272374153137207  ,3.8205785751342773  ,237  ,IN
91 ,old        ,-0.8572434782981873 ,-8.668753623962402  ,452  ,JJ
92 ,chap       ,8.214767456054688   ,1.1545647382736206  ,53   ,NN
93 ,cried      ,-1.9393370151519775 ,-14.846270561218262 ,79   ,VBD
94 ,that       ,1.3130675554275513  ,-6.175232887268066  ,1480 ,DT
95 ,will       ,-8.732267379760742  ,-24.32274627685547  ,317  ,MD
96 ,do         ,-18.200267791748047 ,-12.717185974121094 ,288  ,VB
97 ,off        ,-9.299220085144043  ,-2.1858174800872803 ,228  ,RP
98 ,?          ,-0.2196808010339737 ,-4.370646953582764  ,2218 ,.
99 ,loose      ,3.7662644386291504  ,15.924988746643066  ,33   ,JJ
100,smile      ,-0.6232028603553772 ,14.572101593017578  ,38   ,NN
101,quietly    ,-16.2428035736084   ,4.927696704864502   ,33   ,RB
102,over       ,-7.806178569793701  ,-3.809950590133667  ,316  ,IN
103,lips       ,5.109681129455566   ,16.800256729125977  ,85   ,NNS
104,—the       ,-17.438961029052734 ,11.669943809509277  ,82   ,DT
105,it         ,4.8277058601379395  ,-2.190108299255371  ,2483 ,PRP
106,name       ,-4.844481945037842  ,14.865510940551758  ,215  ,NN
107,ancient    ,10.867939949035645  ,-12.492335319519043 ,33   ,JJ
108,finger     ,2.8704934120178223  ,17.81719398498535   ,38   ,NN
109,went       ,20.343698501586914  ,3.8093512058258057  ,181  ,VBD
110,over       ,-9.965173721313477  ,-3.3215107917785645 ,77   ,RP
111,laughing   ,-13.442853927612305 ,5.320839881896973   ,49   ,VBG
112,himself    ,3.3231077194213867  ,2.7453973293304443  ,219  ,PRP
113,followed   ,-6.714549541473389  ,4.4335222244262695  ,43   ,VBD
114,sat        ,20.446044921875     ,3.8608615398406982  ,39   ,VBD
115,still      ,-2.8591513633728027 ,-6.647490501403809  ,191  ,RB
116,as         ,4.689734935760498   ,-7.563198566436768  ,1001 ,IN
117,neck       ,1.1117863655090332  ,17.8184871673584    ,48   ,NN
118,voice      ,-7.30214262008667   ,14.981164932250977  ,171  ,NN
119,on         ,-10.171278953552246 ,-2.544741630554199  ,206  ,RP
120,too        ,2.4924774169921875  ,-3.0034518241882324 ,441  ,RB
121,but        ,3.826580762863159   ,-6.760073661804199  ,667  ,CC
122,has        ,-4.9740681648254395 ,-20.58903694152832  ,296  ,VBZ
123,n’t        ,25.471153259277344  ,-1.0385429859161377 ,617  ,RB
124,we         ,14.670519828796387  ,-3.3621160984039307 ,445  ,PRP
125,must       ,-8.042332649230957  ,-23.699424743652344 ,224  ,MD
126,go         ,-17.51445198059082  ,-10.589661598205566 ,192  ,VB
127,if         ,-2.169365406036377  ,-12.494970321655273 ,535  ,IN
128,i          ,15.181909561157227  ,-3.912950277328491  ,2837 ,PRP
129,can        ,-8.515810012817383  ,-24.123611450195312 ,215  ,MD
130,get        ,-18.38984489440918  ,-11.132445335388184 ,222  ,VB
131,to         ,-9.500678062438965  ,-21.70276641845703  ,2759 ,TO
132,aside      ,-2.443016767501831  ,2.048563241958618   ,30   ,RB
133,began      ,3.4667599201202393  ,10.822019577026367  ,50   ,VBD
134,me         ,6.26222038269043    ,-0.8593270778656006 ,942  ,PRP
135,—yes       ,-13.658711433410645 ,6.701181888580322   ,74   ,UH
136,my         ,-7.247563362121582  ,22.4843692779541    ,823  ,PRP$
137,love       ,4.636351585388184   ,-4.925806522369385  ,119  ,NN
138,haines     ,-15.635381698608398 ,2.554182291030884   ,56   ,NNP
139,going      ,7.979033946990967   ,-15.439820289611816 ,198  ,VBG
140,right      ,-9.083258628845215  ,-5.522802829742432  ,115  ,JJ
141,shoulder   ,3.4340522289276123  ,20.37285804748535   ,30   ,NN
