   ,word       ,x                  ,y                  ,count,part_of_speech
0  ,_          ,-88.70828247070312 ,-13.177367210388184,31   ,DT
1  ,to         ,-2.876058340072632 ,7.109851837158203  ,898  ,IN
2  ,","        ,-9.708617210388184 ,23.937915802001953 ,4955 ,","
3  ,.          ,5.12610387802124   ,-4.963229656219482 ,2855 ,.
4  ,you        ,-56.11117935180664 ,-28.051315307617188,573  ,PRP
5  ,will       ,112.85832977294922 ,45.43762969970703  ,190  ,MD
6  ,to         ,17.94737434387207  ,-9.64603328704834  ,1196 ,TO
7  ,that       ,38.074462890625    ,-3.1270129680633545,543  ,IN
8  ,no         ,61.56216812133789  ,-92.85836029052734 ,141  ,DT
9  ,has        ,-103.50586700439453,24.478668212890625 ,63   ,VBZ
10 ,the        ,-23.468320846557617,-7.81445837020874  ,4193 ,DT
11 ,of         ,-14.428589820861816,-1.7099084854125977,2644 ,IN
12 ,an         ,-18.560562133789062,-17.116859436035156,211  ,DT
13 ,which      ,4.179101943969727  ,-14.76071834564209 ,558  ,WDT
14 ,have       ,-88.55829620361328 ,21.26694679260254  ,221  ,VBP
15 ,with       ,-5.685433387756348 ,15.285526275634766 ,667  ,IN
16 ,such       ,-14.076929092407227,-55.378746032714844,62   ,JJ
17 ,i          ,-11.135008811950684,-35.01514434814453 ,2847 ,PRP
18 ,here       ,-68.20616149902344 ,-122.17633819580078,35   ,RB
19 ,and        ,-3.9729561805725098,-2.4043755531311035,2976 ,CC
20 ,my         ,22.42310333251953  ,12.644570350646973 ,1776 ,PRP$
21 ,first      ,-16.132625579833984,-121.46051025390625,58   ,JJ
22 ,is         ,94.0694580078125   ,34.861202239990234 ,307  ,VBZ
23 ,dear       ,78.45562744140625  ,75.45504760742188  ,72   ,JJ
24 ,in         ,-12.21912670135498 ,7.150435924530029  ,1116 ,IN
25 ,am         ,-69.37726593017578 ,-25.65390968322754 ,126  ,VBP
26 ,already    ,-264.1919860839844 ,622.8226928710938  ,32   ,RB
27 ,far        ,6.742326736450195  ,42.5572395324707   ,38   ,RB
28 ,as         ,15.474462509155273 ,1.1886911392211914 ,480  ,IN
29 ,a          ,-23.061443328857422,-27.66461753845215 ,1391 ,DT
30 ,upon       ,24.358980178833008 ,-36.27293014526367 ,126  ,IN
31 ,me         ,12.465669631958008 ,15.57939338684082  ,867  ,PRP
32 ,delight    ,33.25910186767578  ,-72.54778289794922 ,32   ,NN
33 ,do         ,81.18477630615234  ,42.256561279296875 ,90   ,VBP
34 ,this       ,-29.41400718688965 ,-19.27128028869629 ,402  ,DT
35 ,?          ,61.095420837402344 ,45.33054733276367  ,220  ,.
36 ,from       ,-17.344911575317383,14.922184944152832 ,385  ,IN
37 ,towards    ,12.276327133178711 ,28.798843383789062 ,94   ,IN
38 ,those      ,-80.98873901367188 ,-84.034423828125   ,91   ,DT
39 ,by         ,-22.1694278717041  ,5.832028388977051  ,457  ,IN
40 ,more       ,58.69511413574219  ,-134.7010955810547 ,120  ,RBR
41 ,be         ,-56.275943756103516,-15.61413288116455 ,355  ,VB
42 ,;          ,34.159423828125    ,-7.8943681716918945,958  ,:
43 ,it         ,-18.865428924560547,-42.039276123046875,547  ,PRP
44 ,ever       ,82.80113220214844  ,-45.34000778198242 ,85   ,RB
45 ,sun        ,-40.369422912597656,-59.8745002746582  ,45   ,NN
46 ,for        ,6.049432277679443  ,5.869629383087158  ,498  ,IN
47 ,its        ,-39.565608978271484,-41.33537292480469 ,123  ,PRP$
48 ,there      ,-138.45172119140625,133.7257080078125  ,55   ,EX
49 ,your       ,68.50324249267578  ,30.4476375579834   ,252  ,PRP$
50 ,some       ,-87.93252563476562 ,-51.95476150512695 ,147  ,DT
51 ,are        ,31.243776321411133 ,51.30611038208008  ,176  ,VBP
52 ,over       ,16.64053726196289  ,-96.22665405273438 ,52   ,IN
53 ,sea        ,127.85222625732422 ,-112.6020736694336 ,32   ,NN
54 ,we         ,-60.36465835571289 ,-86.49945831298828 ,174  ,PRP
55 ,may        ,105.44293975830078 ,31.698165893554688 ,95   ,MD
56 ,every      ,-1.7102009057998657,-64.47730255126953 ,108  ,DT
57 ,on         ,-21.974781036376953,23.080543518066406 ,437  ,IN
58 ,without    ,95.46285247802734  ,-103.53507232666016,30   ,IN
59 ,what       ,1.7862772941589355 ,-30.923397064208984,117  ,WP
60 ,not        ,53.757347106933594 ,-84.55403900146484 ,556  ,RB
61 ,country    ,-35.107425689697266,152.3854522705078  ,54   ,NN
62 ,light      ,-25.866350173950195,-34.88871765136719 ,40   ,NN
63 ,power      ,101.9656753540039  ,-15.993250846862793,39   ,NN
64 ,that       ,10.896557807922363 ,-21.96111297607422 ,289  ,WDT
65 ,only       ,36.21986389160156  ,-106.48643493652344,99   ,RB
66 ,their      ,-55.123165130615234,-54.71176528930664 ,186  ,PRP$
67 ,shall      ,117.8188705444336  ,38.535709381103516 ,105  ,MD
68 ,part       ,149.2165069580078  ,99.53182220458984  ,36   ,NN
69 ,world      ,-42.20917892456055 ,-14.136292457580566,45   ,NN
70 ,never      ,79.2853775024414   ,-88.78512573242188 ,69   ,RB
71 ,before     ,-61.006683349609375,0.09246324747800827,109  ,IN
72 ,man        ,-112.54118347167969,108.24979400634766 ,135  ,NN
73 ,these      ,-23.093616485595703,-87.22640991210938 ,153  ,DT
74 ,they       ,-55.57743453979492 ,-70.76875305175781 ,210  ,PRP
75 ,all        ,-13.386423110961914,-73.24064636230469 ,127  ,DT
76 ,or         ,51.41350173950195  ,26.56388282775879  ,176  ,CC
77 ,death      ,39.477996826171875 ,-40.69566345214844 ,79   ,NN
78 ,joy        ,74.95679473876953  ,-20.52051544189453 ,41   ,NN
79 ,child      ,-109.3221206665039 ,64.5199966430664   ,35   ,NN
80 ,when       ,33.575321197509766 ,-13.938935279846191,328  ,WRB
81 ,he         ,-20.294313430786133,44.72240447998047  ,608  ,PRP
82 ,little     ,-81.77117919921875 ,3.2666025161743164 ,55   ,JJ
83 ,his        ,-15.588926315307617,36.18529510498047  ,535  ,PRP$
84 ,but        ,25.607389450073242 ,-0.6223580241203308,679  ,CC
85 ,all        ,113.74063110351562 ,-35.461246490478516,62   ,PDT
86 ,can        ,102.91878509521484 ,46.85884475708008  ,139  ,MD
87 ,last       ,-101.4471206665039 ,4.585219860076904  ,30   ,JJ
88 ,at         ,2.3401262760162354 ,21.541706085205078 ,315  ,IN
89 ,so         ,11.074485778808594 ,-39.219810485839844,201  ,RB
90 ,many       ,-73.05360412597656 ,-63.532493591308594,67   ,JJ
91 ,months     ,15.29699420928955  ,108.80223083496094 ,39   ,NNS
92 ,if         ,37.776161193847656 ,8.043435096740723  ,194  ,IN
93 ,heart      ,26.800451278686523 ,66.10023498535156  ,81   ,NN
94 ,nothing    ,53.030635833740234 ,-100.7207260131836 ,39   ,NN
95 ,much       ,-84.4578857421875  ,41.425445556640625 ,30   ,RB
96 ,mind       ,35.04000473022461  ,82.29277801513672  ,83   ,NN
97 ,soul       ,-171.35874938964844,-7.618068218231201 ,38   ,NN
98 ,been       ,-75.57195281982422 ,-153.0438690185547 ,190  ,VBN
99 ,years      ,-75.48854064941406 ,135.3783416748047  ,44   ,NNS
100,made       ,83.63780975341797  ,-7.362375259399414 ,30   ,VBN
101,through    ,-102.41036224365234,-18.066585540771484,44   ,IN
102,our        ,51.901241302490234 ,127.84207153320312 ,126  ,PRP$
103,good       ,1.9450465440750122 ,-158.69996643066406,32   ,JJ
104,was        ,-30.97233772277832 ,82.75151062011719  ,1021 ,VBD
105,yet        ,90.03668975830078  ,-29.755950927734375,93   ,CC
106,were       ,19.922866821289062 ,49.14641189575195  ,308  ,VBD
107,day        ,-142.26991271972656,-3.36676025390625  ,81   ,NN
108,night      ,17.21502685546875  ,82.4280776977539   ,90   ,NN
109,them       ,-54.14303970336914 ,-43.841957092285156,127  ,PRP
110,that       ,7.325083255767822  ,-53.04118728637695 ,185  ,DT
111,had        ,-45.76274871826172 ,81.85860443115234  ,682  ,VBD
112,father     ,-10.29591178894043 ,144.48390197753906 ,133  ,NN
113,’s         ,-68.93549346923828 ,32.93144226074219  ,86   ,NNP
114,life       ,-46.88524627685547 ,8.280309677124023  ,115  ,NN
115,time       ,-71.72681427001953 ,17.07532501220703  ,97   ,NN
116,whose      ,149.5739288330078  ,-55.06033706665039 ,50   ,WP$
117,also       ,18.674238204956055 ,-64.85884857177734 ,66   ,RB
118,became     ,-17.82286834716797 ,77.19609069824219  ,61   ,VBD
119,one        ,-39.22541427612305 ,-27.605575561523438,178  ,CD
120,own        ,101.52976989746094 ,-52.12977981567383 ,105  ,JJ
121,might      ,98.81478118896484  ,5.796565532684326  ,108  ,MD
122,where      ,-30.56121826171875 ,-169.7525177001953 ,77   ,WRB
123,well       ,-62.539634704589844,179.8876495361328  ,38   ,RB
124,how        ,86.30638122558594  ,-126.70557403564453,94   ,WRB
125,thoughts   ,78.7769546508789   ,-156.48866271972656,38   ,NNS
126,into       ,-39.458457946777344,25.732900619506836 ,124  ,IN
127,even       ,129.3841552734375  ,12.679085731506348 ,94   ,RB
128,now        ,38.12779998779297  ,-56.96213150024414 ,155  ,RB
129,myself     ,-4.103358745574951 ,-44.95453643798828 ,136  ,PRP
130,great      ,-94.47579193115234 ,44.83692932128906  ,50   ,JJ
131,-          ,39.5707893371582   ,36.18933868408203  ,121  ,HYPH
132,several    ,-98.13394165039062 ,-47.5594596862793  ,51   ,JJ
133,often      ,-62.868629455566406,48.54963684082031  ,55   ,RB
134,than       ,-23.323110580444336,-143.2906494140625 ,110  ,IN
135,during     ,-166.65269470214844,-37.64836120605469 ,67   ,IN
136,must       ,79.56999969482422  ,16.51813507080078  ,64   ,MD
137,felt       ,-55.85051727294922 ,115.2421646118164  ,72   ,VBD
138,did        ,-7.441740036010742 ,96.07499694824219  ,119  ,VBD
139,have       ,25.594446182250977 ,33.323143005371094 ,144  ,VB
140,voice      ,46.33527374267578  ,51.20042419433594  ,46   ,NN
141,would      ,97.27412414550781  ,15.11224365234375  ,184  ,MD
142,!          ,71.29521179199219  ,57.335655212402344 ,236  ,.
143,spirits    ,127.51285552978516 ,80.36544036865234  ,31   ,NNS
144,:          ,47.342864990234375 ,-13.416157722473145,46   ,:
145,sometimes  ,-115.42092895507812,-37.1314811706543  ,60   ,RB
146,most       ,-50.18827819824219 ,-143.3856964111328 ,78   ,RBS
147,hours      ,23.993518829345703 ,104.0798568725586  ,34   ,NNS
148,among      ,-31.639102935791016,0.6671489477157593 ,51   ,IN
149,who        ,125.85331726074219 ,-81.9655990600586  ,174  ,WP
150,until      ,-138.10516357421875,-89.37334442138672 ,52   ,IN
151,return     ,-69.21390533447266 ,-43.0665397644043  ,31   ,VB
152,see        ,110.4431381225586  ,-139.21359252929688,39   ,VB
153,again      ,103.26070404052734 ,-79.47542572021484 ,83   ,RB
154,soon       ,-1.9307295083999634,-87.5357437133789  ,71   ,RB
155,love       ,127.12818145751953 ,-31.192228317260742,36   ,NN
156,_          ,-94.4126205444336  ,-106.34872436523438,35   ,NN
157,yet        ,-86.12329864501953 ,-31.162918090820312,59   ,RB
158,taken      ,-28.970260620117188,-50.93265151977539 ,33   ,VBN
159,whom       ,124.45475006103516 ,-60.89198303222656 ,80   ,WP
160,men        ,-2.282679796218872 ,-106.1488265991211 ,44   ,NNS
161,friend     ,7.873356819152832  ,137.875            ,70   ,NN
162,poor       ,-91.38158416748047 ,62.27276611328125  ,42   ,JJ
163,could      ,-18.168306350708008,97.52552795410156  ,197  ,MD
164,eyes       ,-10.321147918701172,119.28047943115234 ,104  ,NNS
165,gentle     ,24.757858276367188 ,-47.79911422729492 ,35   ,JJ
166,as         ,52.569950103759766 ,-28.96346664428711 ,48   ,RB
167,like       ,154.1758575439453  ,30.474262237548828 ,57   ,IN
168,too        ,60.64701461791992  ,-17.172565460205078,30   ,RB
169,still      ,-71.7569351196289  ,-105.81063079833984,68   ,RB
170,more       ,48.99381637573242  ,-63.78498458862305 ,45   ,JJR
171,affection  ,-173.04217529296875,70.13865661621094  ,40   ,NN
172,nor        ,64.39347076416016  ,-77.9966812133789  ,35   ,CC
173,feelings   ,32.32015609741211  ,21.47382926940918  ,76   ,NNS
174,human      ,46.577392578125    ,-163.32672119140625,53   ,JJ
175,nature     ,156.04598999023438 ,-84.41841125488281 ,49   ,NN
176,first      ,11.817939758300781 ,-76.34110260009766 ,50   ,RB
177,him        ,-7.4336442947387695,-23.192903518676758,222  ,PRP
178,made       ,-22.109533309936523,60.85316467285156  ,40   ,VBD
179,very       ,28.8399600982666   ,-140.65919494628906,59   ,RB
180,passed     ,-70.56995391845703 ,65.77088165283203  ,41   ,VBD
181,heard      ,-143.13922119140625,100.89952850341797 ,42   ,VBD
