   ,word      ,x                   ,y                    ,count,part_of_speech
0  ,          ,-0.305612713098526  ,-1.3131015300750732  ,30   ,_SP
1  ,i         ,-9.956596374511719  ,10.840278625488281   ,1907 ,PRP
2  ,","       ,4.51925802230835    ,-4.226229667663574   ,19366,","
3  ,and       ,5.902988433837891   ,-4.887002468109131   ,8483 ,CC
4  ,’s        ,1.1600911617279053  ,-5.945672988891602   ,2766 ,NNP
5  ,from      ,4.421797752380371   ,-4.911991119384766   ,1091 ,IN
6  ,of        ,4.494761943817139   ,-4.344633102416992   ,7099 ,IN
7  ,to        ,-0.89030522108078   ,19.511960983276367   ,2298 ,TO
8  ,us        ,2.458892583847046   ,3.394214153289795    ,305  ,PRP
9  ,by        ,4.063753604888916   ,-3.7064170837402344  ,1176 ,IN
10 ,a         ,3.0929362773895264  ,-7.083026885986328   ,4538 ,DT
11 ,back      ,6.591275215148926   ,-11.322230339050293  ,123  ,RB
12 ,to        ,2.9410433769226074  ,-3.8032562732696533  ,2198 ,IN
13 ,.         ,1.4328683614730835  ,-1.3531984090805054  ,8360 ,.
14 ,the       ,5.766729831695557   ,-4.268093109130859   ,12047,DT
15 ,sea       ,11.489507675170898  ,-13.509675979614258  ,51   ,NN
16 ,had       ,-11.17721939086914  ,-14.892274856567383  ,349  ,VBD
17 ,-         ,5.551961421966553   ,-4.61151123046875    ,2426 ,HYPH
18 ,on        ,2.3195221424102783  ,-4.70346212387085    ,1477 ,IN
19 ,this      ,0.9848861694335938  ,6.348120212554932    ,625  ,DT
20 ,side      ,6.180285930633545   ,-5.864025592803955   ,62   ,NN
21 ,his       ,6.7092180252075195  ,-8.03534984588623    ,2948 ,PRP$
22 ,war       ,8.185014724731445   ,-1.8980108499526978  ,34   ,NN
23 ,:         ,5.474007606506348   ,-5.867678165435791   ,519  ,:
24 ,nor       ,-13.424281120300293 ,12.7681884765625     ,97   ,CC
25 ,while     ,2.21049427986145    ,-0.9144999980926514  ,246  ,IN
26 ,they      ,9.348130226135254   ,0.26329195499420166  ,697  ,PRP
27 ,went      ,5.405369281768799   ,-13.815747261047363  ,83   ,VBD
